excel_row,machine_group,min_gage,max_gage,min_len,max_len,gcsp,score_real,score_lp,score_lpfa,score_hv,score_nn,is_nn_pick,is_optimum,rank_real,pct_optimum
188,cut/ strip &crimp,0.13,0.13,4001.0,5000.0,2.349,32,16,16,0,33.7806,0,0,481,35.96
189,cut/ strip &crimp,0.13,0.13,5001.0,6000.0,2.565,32,16,16,0,33.8047,0,0,482,35.96
190,cut/ strip &crimp,0.13,0.13,6001.0,7000.0,2.727,32,16,16,0,33.8347,0,0,483,35.96
191,cut/ strip &crimp,0.13,0.13,7001.0,8000.0,2.943,32,16,16,0,33.8689,0,0,484,35.96
192,cut/ strip &crimp,0.13,0.13,8001.0,9000.0,3.186,32,16,16,0,33.8882,0,0,485,35.96
193,cut/ strip &crimp,0.13,0.13,9001.0,11000.0,3.456,32,16,16,0,33.9534,0,0,486,35.96
194,cut/ strip &crimp,0.13,0.13,11001.0,13000.0,3.807,32,16,16,0,33.9223,0,0,487,35.96
195,cut/ strip &crimp,0.13,0.13,13001.0,15000.0,4.185,32,16,16,0,33.891,0,0,488,35.96
196,cut/ strip &crimp,0.13,0.13,15001.0,17000.0,4.563,32,16,16,0,33.8641,0,0,489,35.96
197,cut/ strip &crimp,0.13,0.13,17001.0,19000.0,4.941,32,16,16,0,33.8068,0,0,490,35.96
200,cut/ strip &crimp,0.13,0.13,60.0,100.0,1.6632,36,16,16,4,37.2427,0,0,469,40.45
201,cut/ strip &crimp,0.13,0.13,101.0,1000.0,1.6632,32,16,16,0,33.9229,0,0,491,35.96
202,cut/ strip &crimp,0.13,0.13,1001.0,2000.0,1.9305,32,16,16,0,33.857,0,0,493,35.96
203,cut/ strip &crimp,0.13,0.13,2001.0,3000.0,2.1681,32,16,16,0,33.7878,0,0,492,35.96
204,cut/ strip &crimp,0.13,0.13,3001.0,4000.0,2.376,32,16,16,0,33.7702,0,0,494,35.96
205,cut/ strip &crimp,0.13,0.13,4001.0,5000.0,2.5839,32,16,16,0,33.782,0,0,495,35.96
206,cut/ strip &crimp,0.13,0.13,5001.0,6000.0,2.8215,32,16,16,0,33.8159,0,0,473,35.96
207,cut/ strip &crimp,0.13,0.13,6001.0,7000.0,2.9997,32,16,16,0,33.8451,0,0,474,35.96
208,cut/ strip &crimp,0.13,0.13,7001.0,8000.0,3.2373,32,16,16,0,33.8771,0,0,475,35.96
209,cut/ strip &crimp,0.13,0.13,8001.0,9000.0,3.5046,32,16,16,0,33.8967,0,0,476,35.96
210,cut/ strip &crimp,0.13,0.13,9001.0,11000.0,3.8016,32,16,16,0,33.96,0,0,477,35.96
211,cut/ strip &crimp,0.13,0.13,11001.0,13000.0,4.1877,32,16,16,0,33.9407,0,0,478,35.96
212,cut/ strip &crimp,0.13,0.13,13001.0,15000.0,4.6035,32,16,16,0,33.9097,0,0,479,35.96
213,cut/ strip &crimp,0.13,0.13,15001.0,17000.0,5.0193,32,16,16,0,33.8791,0,0,496,35.96
